iter	Passed	Remaining
0	154	15335
1	155	7625
2	156	5056
3	157	3778
4	158	3005
5	158	2490
6	159	2120
7	160	1843
8	160	1626
9	161	1453
10	162	1311
11	162	1193
12	163	1094
13	164	1009
14	165	935
15	165	871
16	166	813
17	167	762
18	168	716
19	168	675
20	169	638
21	170	605
22	171	574
23	172	545
24	172	518
25	173	494
26	174	472
27	175	451
28	176	431
29	176	412
30	177	395
31	178	378
32	178	363
33	179	348
34	180	334
35	180	321
36	181	309
37	182	297
38	182	285
39	183	275
40	184	265
41	184	255
42	185	245
43	186	237
44	187	228
45	187	220
46	188	212
47	189	205
48	190	198
49	191	191
50	191	184
51	192	177
52	193	171
53	194	165
54	194	159
55	195	153
56	196	148
57	197	142
58	198	137
59	199	132
60	199	127
61	200	122
62	201	118
63	201	113
64	202	109
65	203	104
66	204	100
67	205	96
68	206	92
69	206	88
70	207	84
71	208	81
72	209	77
73	209	73
74	210	70
75	211	66
76	212	63
77	213	60
78	213	56
79	214	53
80	215	50
81	216	47
82	216	44
83	217	41
84	217	38
85	218	35
86	219	32
87	220	30
88	221	27
89	221	24
90	222	22
91	223	19
92	224	16
93	224	14
94	225	11
95	226	9
96	227	7
97	227	4
98	228	2
99	229	0
