iter	Passed	Remaining
0	137	13614
1	139	6840
2	141	4573
3	143	3432
4	144	2745
5	146	2288
6	147	1959
7	149	1714
8	150	1526
9	152	1376
10	154	1252
11	155	1143
12	157	1053
13	159	977
14	160	910
15	162	852
16	164	801
17	166	757
18	167	713
19	168	673
20	169	637
21	170	606
22	171	575
23	173	549
24	174	524
25	176	503
26	177	480
27	179	460
28	180	441
29	181	423
30	182	406
31	183	390
32	184	375
33	186	361
34	187	347
35	187	334
36	189	321
37	190	310
38	191	299
39	192	288
40	193	277
41	194	268
42	195	258
43	195	249
44	196	240
45	197	231
46	198	223
47	198	215
48	199	207
49	200	200
50	201	193
51	201	186
52	202	179
53	203	173
54	204	166
55	204	160
56	205	154
57	206	149
58	206	143
59	207	138
60	208	133
61	208	128
62	209	123
63	210	118
64	210	113
65	211	109
66	212	104
67	213	100
68	213	96
69	214	91
70	215	87
71	215	83
72	216	80
73	217	76
74	217	72
75	218	68
76	219	65
77	219	61
78	220	58
79	220	55
80	221	51
81	222	48
82	222	45
83	223	42
84	223	39
85	224	36
86	225	33
87	225	30
88	226	27
89	226	25
90	227	22
91	227	19
92	228	17
93	229	14
94	229	12
95	230	9
96	230	7
97	231	4
98	232	2
99	232	0
